Name,MODEL,Classification,MAX_POWER,IO_IDLE_CURRENT@10V,LENGTH,KT,ESC/BEC_Class,CAN_LENGTH,TOTAL_LENGTH,KM,SHAFT_DIAMETER,WEIGHT,Poles,INTERNAL_RESISTANCE,CONTROL_CHANNEL,ADAPTER_LENGTH,MAX_CURRENT,Max_#_of_Cells,KV,COST,CAN_DIAMETER,Min_#_of_Cells,PROP_SIZE_REC.,PROP_PITCH_REC.,ESC_PWM_RATE_MIN,ADAPTER_DIAMETER,ESC_PWM_RATE_MAX,COST_ADAPTER,ESC_RATE,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_CAN_DIAMETER,CREO_CAN_LENGTH,CREO_SHAFT_DIAMETER,CREO_TOTAL_LENGTH,CREO_LENGTH,CREO_WEIGHT
t_motor_AT2317KV1400,AT2317KV1400,Motor,700.0,1.7,36.0,0.006820926132509801,3.0,17.0,52.0,0.03645938378334958,4.0,0.08,12N14P,35.0,1,23.0,45.0,4.0,1400.0,39.99,28.8,2.0,"(8.0, 10.0)","(4.0, 7.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,11.585681554693059,0.0,0.0,0.0,8.552922673946211,-0.043836625701598284,0.0,-0.043836625701598284,11.474456522775952,,,28.8,17.0,4.0,52.0,36.0,0.08
kde_direct_KDE2315XF885,KDE2315XF885,Motor,532.0,0.5,28.5,0.0108,1.0,15.0,35.25,0.0303,4.0,0.075,12S14P,127.0,1,12.0,24.0,6.0,885.0,60.95,28.3,3.0,"(9.0, 12.0)","(3.0, 5.0)",,6.0,,,,4114.60986375881,5.2327113769512685e-06,30.46612044530081,0.0,0.0,0.0,8.66159024630726,-0.13693656283800548,0.0,-0.13693656283800548,30.357719799958826,13.373918993719492,0.0,0.0,0.0,8.66117459907142,-0.0526504220725785,0.0,-0.0526504220725785,13.265933995613349,,,28.3,15.0,4.0,35.25,28.5,0.075
t_motor_MN4014KV400,MN4014KV400,Motor,900.0,1.3,35.0,0.0238732414637843,2.0,14.0,42.9,0.09223037816543718,4.0,0.171,18N24P,67.0,1,"(31.5, 31.5)",30.0,8.0,400.0,96.9,44.7,4.0,"(14.0, 18.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,48.31180440104097,0.0,0.0,0.0,50.051397381303616,-0.08088369011458592,0.0,-0.08088369011458635,48.07050448083231,,,44.7,14.0,4.0,42.9,35.0,0.171
t_motor_AT2820KV1050,AT2820KV1050,Motor,900.0,2.0,43.0,0.009094568176679734,3.0,20.0,63.5,0.05435044037154876,5.0,0.139,12N14P,28.0,1,"(30.0, 36.0)",65.0,4.0,1050.0,59.99,35.2,3.0,"(10.0, 14.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,14.543164895697554,0.0,0.0,0.0,18.160848216347688,-0.029314087660571697,0.0,-0.02931408766057192,14.385591811209299,,,35.2,20.0,5.0,63.5,43.0,0.139
t_motor_MN3110KV700,MN3110KV700,Motor,466.0,0.3,30.0,0.013641852265019601,2.0,10.0,37.1,0.044975855022520064,4.0,0.099,12N14P,92.0,1,26.0,21.0,6.0,700.0,61.9,37.7,3.0,"(10.0, 13.0)","(3.0, 5.0)",,6.0,,,,6043.8502892191445,5.2327113769512685e-06,57.94003054704589,0.0,0.0,0.0,25.273927898278842,-0.17416940776408563,0.0,-0.17416940776408607,57.76158398830286,34.300191169587364,0.0,0.0,0.0,25.273616990503964,-0.08843893945978781,0.0,-0.08843893945978827,34.12205551861922,,,37.7,10.0,4.0,37.1,30.0,0.099
t_motor_AT2814KV1050,AT2814KV1050,Motor,700.0,1.5,36.0,0.009094568176679734,3.0,14.0,54.5,0.048612511711132775,5.0,0.107,12N14P,35.0,1,"(30.0, 36.0)",50.0,4.0,1050.0,49.99,35.2,3.0,"(9.0, 13.0)","(4.0, 7.0)",,"(6.0, 8.0)",,,,5684.890731032396,5.2327113769512685e-06,48.277474042276225,0.0,0.0,0.0,18.4739883341891,-0.16426465032192272,0.0,-0.16426465032192272,48.119344665579774,22.71664087997292,0.0,0.0,0.0,18.47357795968836,-0.06184714332080159,0.0,-0.0618471433208016,22.558921877777216,,,35.2,14.0,5.0,54.5,36.0,0.107
t_motor_MT2216V2800KV,MT2216V2800KV,Motor,260.0,0.3,34.0,0.01193662073189215,3.0,16.0,58.0,0.02853398119506309,5.0,0.075,12N14P,175.0,1,,18.0,4.0,800.0,54.9,27.5,3.0,"(9.0, 12.0)","(3.0, 5.0)",,,,,,4239.111636748747,5.2327113769512685e-06,27.95862335958933,0.0,0.0,0.0,7.211684576463304,-0.13377171867932425,0.0,-0.13377171867932436,27.855397401105435,11.27436394207625,0.0,0.0,0.0,7.211211913539549,-0.0449696498593392,0.0,-0.04496964985933931,11.171610646516108,,,27.5,16.0,5.0,58.0,34.0,0.075
kde_direct_KDE3510XF_715,KDE3510XF_715,Motor,832.0,0.5,35.0,0.0134,1.0,10.0,44.75,0.0575,5.0,0.17500000000000002,12S14P,54.0,1,"(17.0, 17.0)",45.0,5.0,715.0,92.95,42.2,3.0,"(12.0, 16.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7123.2990817924365,5.2327113769512685e-06,74.07890859039148,0.0,0.0,0.0,37.04414787745708,-0.1919904254167326,0.0,-0.19199042541673217,73.86091198291436,30.652890261443545,0.0,0.0,0.0,37.04368227829356,-0.04979724334979249,0.0,-0.04979724334979205,30.435359253129946,,,42.2,10.0,5.0,44.75,35.0,0.17500000000000002
t_motor_MT13063100KV,MT13063100KV,Motor,44.0,0.2,12.0,0.0030804182533915227,3.0,6.0,26.0,0.012371257411140733,4.0,0.0112,9N12P,62.0,1,,6.0,2.0,3100.0,41.9,17.7,1.0,"(6.0, 7.0)","(2.0, 3.0)",,,,,,2398.3690903024117,5.2327113769512685e-06,11.31212403688963,0.0,0.0,0.0,1.464056027430472,-0.09495772650871381,0.0,-0.09495772650871381,11.262357947891308,8.981396168834976,0.0,0.0,0.0,1.463886641303781,-0.0750890508034622,0.0,-0.0750890508034622,8.931799465963346,,,17.7,6.0,4.0,26.0,12.0,0.0112
kde_direct_KDE4012XF_400,KDE4012XF_400,Motor,947.0,0.5,30.0,0.0239,1.0,12.0,39.75,0.0844,5.0,0.2,18S24P,80.0,1,"(20.0, 20.0)",32.0,8.0,400.0,114.95,46.5,4.0,"(16.0, 20.0)","(4.0, 8.0)",,"(6.0, 8.0)",,19.95,,8149.18330057278,5.2327113769512685e-06,100.707889457321,0.0,0.0,0.0,61.33762119678481,-0.20902261748540507,0.0,-0.20902261748540485,100.44845149676127,54.94543544187263,0.0,0.0,0.0,61.33725899239593,-0.08027779041121058,0.0,-0.08027779041121036,54.686359685701774,,,46.5,12.0,5.0,39.75,30.0,0.2
t_motor_MN22041400KV,MN22041400KV,Motor,88.0,0.3,12.0,0.006820926132509801,2.0,4.0,26.0,0.01266614184857098,2.0,0.023,12N14P,290.0,1,,8.0,3.0,1400.0,25.9,27.0,2.0,"(5.0, 8.0)","(2.0, 3.0)",,,,,,3880.7079918091968,5.2327113769512685e-06,28.118038050034315,0.0,0.0,0.0,7.663891719788702,-0.13178976463332503,0.0,-0.1317897646333248,28.017986358030978,23.12700327468136,0.0,0.0,0.0,7.663761238720351,-0.1062707810258722,0.0,-0.10627078102587198,23.027082063746377,,,27.0,4.0,2.0,26.0,12.0,0.023
t_motor_AT2312KV1400,AT2312KV1400,Motor,320.0,1.1,30.0,0.006820926132509801,3.0,12.0,44.5,0.029084526753195856,4.0,0.06,12N14P,55.0,1,23.0,30.0,4.0,1400.0,34.99,28.8,2.0,"(7.0, 9.0)","(4.0, 7.0)",,6.0,,,,4303.506303486514,5.2327113769512685e-06,30.825206587983416,0.0,0.0,0.0,8.693726212266151,-0.13891996177970034,0.0,-0.13891996177970034,30.71350651453907,16.677526706198663,0.0,0.0,0.0,8.6933779659968,-0.06872911149756557,0.0,-0.06872911149756557,16.566174879023666,,,28.8,12.0,4.0,44.5,30.0,0.06
t_motor_AT3530KV580,AT3530KV580,Motor,1400.0,1.9,55.0,0.016464304457782276,3.0,30.0,75.0,0.12271767989951328,5.0,0.298,12N14P,18.0,1,"(30.0, 36.0)",65.0,6.0,580.0,99.99,43.0,4.0,"(13.0, 16.0)","(7.0, 9.0)",,"(6.0, 8.0)",,,,7475.686462926633,5.2327113769512685e-06,77.90109496245746,0.0,0.0,0.0,40.0376268811271,-0.19515771391932546,0.0,-0.19515771391932546,77.6756632601716,5.504934096569517,0.0,0.0,0.0,40.03687893471702,0.0375392761763296,0.0,0.0375392761763296,5.280250340693733,,,43.0,30.0,5.0,75.0,55.0,0.298
t_motor_MN3110KV470,MN3110KV470,Motor,330.0,0.3,30.0,0.02031765230960366,2.0,10.0,37.1,0.05529764547756568,4.0,0.098,12N14P,135.0,1,26.0,15.0,6.0,470.0,61.9,37.7,3.0,"(10.0, 15.0)","(3.0, 5.0)",,6.0,,,,6043.8502892191445,5.2327113769512685e-06,57.94003054704589,0.0,0.0,0.0,25.273927898278842,-0.17416940776408563,0.0,-0.17416940776408607,57.76158398830286,34.53897742592533,0.0,0.0,0.0,25.273620130986536,-0.08930490378609385,0.0,-0.0893049037860943,34.360838634474604,,,37.7,10.0,4.0,37.1,30.0,0.098
t_motor_MN4012KV340,MN4012KV340,Motor,660.0,0.9,33.0,0.02808616642798153,2.0,12.0,40.9,0.07701346160134363,4.0,0.155,18N24P,133.0,1,"(31.5, 31.5)",22.0,8.0,340.0,92.9,44.7,4.0,"(13.0, 17.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,52.10442877724043,0.0,0.0,0.0,50.051431186291154,-0.09220660833268607,0.0,-0.0922066083326865,51.86309505204423,,,44.7,12.0,4.0,40.9,33.0,0.155
t_motor_MN5212KV340,MN5212KV340,Motor,840.0,1.1,33.5,0.02808616642798153,2.0,12.0,42.5,0.10692220825294046,4.0,0.249,24N22P,69.0,1,31.5,35.0,8.0,340.0,109.9,59.0,4.0,"(14.0, 19.0)","(5.0, 7.0)",,6.0,,,,11504.109627332855,5.2327113769512685e-06,189.8333005357701,0.0,0.0,0.0,155.4292608305239,-0.2585498928740968,0.0,-0.25854989287409635,189.43313303538827,132.09178301686427,0.0,0.0,0.0,155.4289874193385,-0.1329031579415758,0.0,-0.13290315794157537,131.6918889276679,,,59.0,12.0,4.0,42.5,33.5,0.249
t_motor_AT4125KV250,AT4125KV250,Motor,2200.0,1.0,50.0,0.038197186342054885,3.0,25.0,74.0,0.14647952298417527,6.0,0.35000000000000003,12N14P,68.0,1,"(35.0, 40.0)",50.0,12.0,250.0,115.99,50.0,6.0,"(15.0, 18.0)","(8.0, 10.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,34.09417888040167,0.0,0.0,0.0,74.71615439860588,0.0,0.0,0.0,33.79898934914553,,,50.0,25.0,6.0,74.0,50.0,0.35000000000000003
t_motor_AT2814KV900,AT2814KV900,Motor,650.0,1.2,36.0,0.01061032953945969,3.0,14.0,54.5,0.03705287799228762,5.0,0.108,12N14P,82.0,1,"(30.0, 36.0)",45.0,4.0,900.0,49.99,35.2,3.0,"(9.0, 14.0)","(4.0, 7.0)",,"(6.0, 8.0)",,,,5684.890731032396,5.2327113769512685e-06,48.277474042276225,0.0,0.0,0.0,18.4739883341891,-0.16426465032192272,0.0,-0.16426465032192272,48.119344665579774,22.47775458873644,0.0,0.0,0.0,18.47357412441265,-0.060889970358174283,0.0,-0.0608899703581743,22.32003942181644,,,35.2,14.0,5.0,54.5,36.0,0.108
t_motor_AT2814KV1200,AT2814KV1200,Motor,800.0,1.8,36.0,0.007957747154594767,3.0,14.0,54.5,0.04935185281240953,5.0,0.108,12N14P,26.0,1,"(30.0, 36.0)",55.0,4.0,1200.0,49.99,35.2,3.0,"(9.0, 12.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,5684.890731032396,5.2327113769512685e-06,48.277474042276225,0.0,0.0,0.0,18.4739883341891,-0.16426465032192272,0.0,-0.16426465032192272,48.119344665579774,22.47775458873644,0.0,0.0,0.0,18.47357412441265,-0.060889970358174283,0.0,-0.0608899703581743,22.32003942181644,,,35.2,14.0,5.0,54.5,36.0,0.108
t_motor_AT2310KV2200,AT2310KV2200,Motor,650.0,2.1,24.8,0.004340589357051691,3.0,10.0,49.8,0.02320142604394973,6.0,0.052000000000000005,12N14P,35.0,1,,45.0,4.0,2200.0,27.99,28.8,3.0,"(5.0, 6.0)","(4.0, 5.0)",,,,,,4571.571402227775,5.2327113769512685e-06,31.937399139555303,0.0,0.0,0.0,9.141593824416564,-0.1389186316596881,0.0,-0.13891863165968799,31.82571997832504,21.183968898107654,0.0,0.0,0.0,9.141327635379012,-0.0854174691512566,0.0,-0.08541746915125648,21.07255592591494,,,28.8,10.0,6.0,49.8,24.8,0.052000000000000005
t_motor_AT3520KV720,AT3520KV720,Motor,1300.0,1.6,45.0,0.013262911924324612,3.0,20.0,65.0,0.09378294959969856,5.0,0.339,12N14P,20.0,1,"(30.0, 36.0)",70.0,5.0,720.0,79.99,43.0,4.0,"(13.0, 15.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,7475.686462926633,5.2327113769512685e-06,77.90109496245746,0.0,0.0,0.0,40.0376268811271,-0.19515771391932546,0.0,-0.19515771391932546,77.6756632601716,-4.455611525918439,0.0,0.0,0.0,40.036776029338455,0.06955463387405403,0.0,0.06955463387405403,-4.680192376415654,,,43.0,20.0,5.0,65.0,45.0,0.339
t_motor_MN3510KV700,MN3510KV700,Motor,555.0,0.5,29.0,0.013641852265019601,2.0,10.0,37.1,0.06100821800718661,4.0,0.11800000000000001,12N14P,50.0,1,26.0,25.0,4.0,700.0,79.9,41.8,3.0,"(11.0, 14.0)","(3.0, 5.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,48.161737800361855,0.0,0.0,0.0,39.142054708047084,-0.10225963165589678,0.0,-0.10225963165589634,47.94769419856851,,,41.8,10.0,4.0,37.1,29.0,0.11800000000000001
t_motor_MN3508KV580,MN3508KV580,Motor,400.0,0.4,27.0,0.016464304457782276,2.0,8.0,35.1,0.04964174574603602,4.0,0.10300000000000001,12N14P,110.0,1,26.0,18.0,4.0,580.0,69.9,41.8,3.0,"(12.0, 15.0)","(4.0, 5.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,51.668150511326715,0.0,0.0,0.0,39.142090516075825,-0.11346482888449802,0.0,-0.11346482888449759,51.454071101504624,,,41.8,8.0,4.0,35.1,27.0,0.10300000000000001
t_motor_AT2820KV1250,AT2820KV1250,Motor,1000.0,2.7,43.0,0.007639437268410976,3.0,20.0,63.5,0.06039505452538445,5.0,0.14100000000000001,12N14P,16.0,1,"(30.0, 36.0)",70.0,4.0,1250.0,59.99,35.2,3.0,"(9.0, 13.0)","(4.0, 8.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,14.062717534157414,0.0,0.0,0.0,18.160840368986076,-0.027372391855312123,0.0,-0.027372391855312345,13.90515229703077,,,35.2,20.0,5.0,63.5,43.0,0.14100000000000001
t_motor_AT2308KV1450,AT2308KV1450,Motor,250.0,0.8,26.0,0.006585721783112911,3.0,8.0,40.5,0.021952405943709705,4.0,0.047,12N14P,90.0,1,23.0,23.0,4.0,1450.0,29.99,28.8,2.0,"(6.0, 9.0)","(4.0, 7.0)",,6.0,,,,4303.506303486514,5.2327113769512685e-06,30.825206587983416,0.0,0.0,0.0,8.693726212266151,-0.13891996177970034,0.0,-0.13891996177970034,30.71350651453907,19.742857347252027,0.0,0.0,0.0,8.69345341935516,-0.08393712905869477,0.0,-0.08393712905869477,19.63143006671867,,,28.8,8.0,4.0,40.5,26.0,0.047
t_motor_MN4014KV330,MN4014KV330,Motor,750.0,1.1,35.0,0.028937262380344612,2.0,14.0,42.9,0.09925399112253296,4.0,0.171,18N24P,85.0,1,"(31.5, 31.5)",25.0,8.0,330.0,96.9,44.7,4.0,"(14.0, 18.0)","(4.0, 7.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,48.31180440104097,0.0,0.0,0.0,50.051397381303616,-0.08088369011458592,0.0,-0.08088369011458635,48.07050448083231,,,44.7,14.0,4.0,42.9,35.0,0.171
t_motor_AS2317KV880,AS2317KV880,Motor,394.0,0.74,36.0,0.010851473392629226,3.0,17.0,52.0,0.03836575210896759,4.0,0.081,12N14P,80.0,1,"(24.0, 28.0)",26.0,4.0,880.0,21.95,29.4,3.0,"(9.0, 13.0)","(5.0, 8.0)",,"(5.0, 6.0)",,,,4434.727140873214,5.2327113769512685e-06,32.1141700608251,0.0,0.0,0.0,9.302170682048041,-0.14129689161989223,0.0,-0.141296891619892,31.99844868172661,12.87675818795047,0.0,0.0,0.0,9.301713786547623,-0.047545741382117715,0.0,-0.04754574138211749,12.761493704352393,,,29.4,17.0,4.0,52.0,36.0,0.081
t_motor_AS2814KV1050,AS2814KV1050,Motor,718.0,1.35,36.0,0.009094568176679734,3.0,14.0,54.5,0.048892701418832354,5.0,0.112,12N14P,34.6,1,30.0,49.0,4.0,1050.0,33.99,36.2,3.0,"(9.0, 14.0)","(4.0, 7.0)",,6.0,,,,5900.680271059017,5.2327113769512685e-06,51.705864200996885,0.0,0.0,0.0,20.724491281364365,-0.16822519654729362,0.0,-0.16822519654729362,51.539764275816964,24.99348937179979,0.0,0.0,0.0,20.724090614390995,-0.06477179718159685,0.0,-0.06477179718159685,24.827790113593245,,,36.2,14.0,5.0,54.5,36.0,0.112
